pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
HD 219134 b,HD 219134,Radial Velocity,3.092926,0.03876,1.602,1015,4699,0.778,0.81
HD 219134 c,HD 219134,Radial Velocity,6.76458,0.0653,1.511,782,4699,0.778,0.81
HD 219134 d,HD 219134,Radial Velocity,46.859,0.237,1.61,410.5,4699,0.778,0.81
HD 219134 f,HD 219134,Radial Velocity,22.717,0.1463,1.31,522.6,4699,0.778,0.81
HD 219134 g,HD 219134,Radial Velocity,94.2,0.3753,3.28,,4913,0.77,0.794
HD 219134 h,HD 219134,Radial Velocity,2247,3.11,12.7,,4913,0.77,0.794
HD 219139 b,HD 219139,Radial Velocity,275.5,0.94,14,,4831,11.22,1.46
HD 219415 b,HD 219415,Radial Velocity,2093.3,3.2,13.8,,4820,2.9,1
HD 219666 b,HD 219666,Transit,6.034468,0.06356,4.898,1076,5540,1.059,1.02
HD 219828 b,HD 219828,Radial Velocity,3.83483,0.049,4.59,,5891,1.56,1.04
HD 219828 c,HD 219828,Radial Velocity,4789.87297,5.657,12.2,,5891,1.56,1.04
HD 220074 b,HD 220074,Radial Velocity,672.09998,1.6,12.2,,3787,54.92,2.2
HD 220197 b,HD 220197,Radial Velocity,1728,2.729,9.32,,5683,0.98,0.91
HD 220689 b,HD 220689,Radial Velocity,2266.4,3.396,13.7,,5921,1.068,1.016
HD 220773 b,HD 220773,Radial Velocity,3724.7,4.94,13.6,,5940,1.679696,1.16
HD 220842 b,HD 220842,Radial Velocity,218.47,0.74,13.1,,5960,1.41647,1.13
HD 221287 b,HD 221287,Radial Velocity,456.1,1.25,13.1,,6304,1.13864,1.25
HD 221416 b,HD 221416,Transit,14.2767,0.1228,9.17,789.15,5080,2.943,1.212
HD 221420 b,HD 221420,Radial Velocity,10090.00000000000,10.15,12,,5847,1.947,1.351
HD 221585 b,HD 221585,Radial Velocity,1173,2.306,13.5,,5620,1.850575,1.19
HD 222076 b,HD 222076,Radial Velocity,871,1.83,13.5,,4806,4.1,1.07
HD 222155 b,HD 222155,Radial Velocity,3999,5.14,13.4,,5701,1.85,1.21
HD 222237 b,HD 222237,Radial Velocity,14892.00000000000,10.8,12.8,,4751,0.71,0.76
HD 222582 b,HD 222582,Radial Velocity,572.38,1.34,12.6,,5790,1.13,1.12
